scheme_name,slug,details,benefits,eligibility,application,documents,level,schemeCategory,Unnamed: 9,tags,income_limit,age_limit,category_req,state_req
Nirman Shramik Jeevan va Bhavishya Suraksha Yojana,nsjbsy,"Launched in 2016, the scheme ""Nirman Shramik Jeevan va Bhavishya Suraksha Yojana"" (Construction Workers Life and Future Security Scheme) by the Building and Other Construction Workers Welfare Board, Government of Rajasthan aims to provide financial security and social protection through insurance and pension benefits to the registered construction workers and their families. Through this scheme, benefits under the Pradhan Mantri Suraksha Bima Yojana, Pradhan Mantri Jeevan Jyoti Bima Yojana, and Atal Pension Yojana are provided to eligible registered construction workers. This comprehensive scheme complements other initiatives like the Construction Workers Tools/Toolkit Assistance Scheme, Construction Workers Education and Skill Development Scheme, and Construction Workers Sulabh Yojana.","Pradhan Mantri Suraksha Bima Yojana (PMSBY) 100% reimbursement of annual premium amount (₹12) Premium amount is fully reimbursed through electronic transfer No partial reimbursement option is available Beneficiary must show proof of premium deduction in bank passbook Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY) 50% reimbursement of the annual premium amount Total premium: ₹330 Reimbursement amount: ₹165 Remaining ₹165 to be borne by the beneficiary Must provide proof of full premium deduction from bank account Atal Pension Yojana (APY) 50% reimbursement of the annual contribution amount Specifically for the ₹1,000 monthly pension plan Reimbursement is calculated based on the average annual contribution Beneficiary must continue paying their share to maintain scheme validity Must show proof of contribution deduction from bank account",1.  The applicant must be registered as a beneficiary with the Building and Other Construction Workers Welfare Board. 2.  The applicant must have a savings bank account in their name. 3.  The applicant must be eligible for membership under the following schemes: Pradhan Mantri Suraksha Bima Yojana (PMSBY) Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY) Atal Pension Yojana (APY) 4.  The applicant must provide consent to their bank for the deduction of premium/contribution from their savings account. 5.  The applicant must have gotten the annual premium/contribution amount deducted from their savings account.,"REGISTRATION Step 1: Visit the Official Portal of Rajasthan Single Signon, and click "" Register Here "". Step 2: In the online registration form, fill in all the mandatory fields, verify your Mobile Number via OTP, and click ""Register"". APPLICATION Step 1: After successful registration, log in to the SSO Portal, you will be able to browse the various Departmental Portals of the Government of Rajasthan. Step 2: Click on the “Labour Department Management System (LDMS)” icon. The system will ask whether you are already registered with LDMS. Step 2.1: If you are already registered with LDMS, click ‘Yes’. You will be asked to provide your LDMS Login ID & Password for mapping with SSO ID. *This is a one-time activity, thereafter, in subsequent sessions upon entering the SSO ID & selecting the LDMS portal, the user will automatically come to the respective screen in the LDMS portal. Step 2.2: If you are NOT already registered with LDMS, click ‘No’. You will be asked to update your profile by providing the following details: District, House No./Plot No., Street/Locality, Village/Town/City, and PIN Code. Step 3: After submitting the form, you will automatically come to the dashboard of the LDMS portal. Step 4: Select ""Welfare Schemes"" from the side menu, then select ""BOCW Welfare Board"", then click ""Apply for Scheme"". Step 5: In the next page, all the schemes of the Rajasthan Shramik Card will be displayed. From the list, select the scheme you intend to apply for. Step 6: You will be taken to the online application form of the scheme. In the form, fill in all the mandatory fields of the Application Form and upload all the mandatory documents in the specified format and size. Finally, click ""Submit"".","Copy of Beneficiary Registration Identity Card. Copy of Bank Passbook First Page (showing beneficiary's name, account number, and IFSC code). Copy of Bank Passbook Page Showing Premium/Contribution Deduction Details. Copy of Aadhaar Card and Bhamashah Card (Optional).",State,Health & Wellness,,"Medical, Insurance, Health, Labor, Premium, Construction, Pension",,,,
AFFDF-Financial Assistance For Treatment Of Serious Diseases To Non Pensioner Ex-Servicemen (All Ranks)/Widows,affdf-serious-disease-treatment,"A scheme to provide financial assistance to a non-pensioner Ex-Servicemen of all ranks and widows to meet medical expenses related to treatment of approved serious diseases like cancer, renal failure, knee replacement and heart surgery. ﻿ Expenditure must be incurred at a approved govt hospital at the rates applicable under CGHS / ECHS. ﻿ List of the serious diseases are covered under this scheme ﻿ Angiography & Angioplasty CABG. (l) Dialysis Open heart surgery Valve replacement Pacemaker Implant Cerebral stroke Prostrate surgery Joint replacement Renal failure Cancer ﻿ Treatment of other Diseases In case the treatment of a serious disease which is not listed , such application will be referred to Director General Armed Forces Medical Services (DGAFMS) for comment/recommendation to consider it for financial assistance for treatment of that disease, to ESM under this scheme. ﻿ ﻿ ﻿","Financial assistance for treatment of the approved serious diseases  to non-pensioner Ex-Servicemen of all ranks and widows subject to a maximum of Rs 1,25,000/- (One Time) and for treatment of cancer/dialysis subject to a maximum of Rs 75,000/- per annum as follows:- For Non-Pensioner Officers/Widows. 75% of total expenditure incurred on medical treatment, hospitalization, medicines etc. For Non-Pensioner other Ranks/Widows. 90% of total expenditure incurred per annum on medical treatment, hospitalization, medicine etc. ﻿ Note Expenditure must be incurred at a approved govt hospital at the rates applicable under CGHS / ECHS.",The following criteria must be fulfilled:- ﻿ Applicant must be a non-pensioner ESM or his widow. Should not be member of ECHS or availing AFMS facilities. Should be recommended by respective Zila Sainik Board (ZSB). Expenditure must be incurred at a approved govt hospital at the rates applicable under CGHS / ECHS.,"Eligible Ex-servicemen / their widows can visit the official website of Kendriya Sainik Board Secretariat (KSBS) https://ksb.gov.in/  Click on “Register” which is available on the homepage of the portal. Now, the registration form will be displayed, fill the form with necessary details. Upload the Photo Save the application by clicking on the “Save” button and the saved details and password will be forwarded to the registered mail id. Click the activation link which is sent to the mail id to login into the KSB portal. Provide user name, password and verification code and click on the “Login “ button. Select the scheme name and start filling the new application form by entering the required details. Copies of the supporting documents duly attested by the respective Zila Sainik Welfare Officer (ZSWO) must be uploaded with the online application. Once the online application is submitted, ZSWO will scrutinize the online applications and give appointment to the applicant for verification, After successful verification, ZWSO will recommend the online application and forward the harp copy as well soft copy to Kendriya Sainik Board (KSB) through Rajya Sainik Boards (RSBs) for further processing. ﻿ Processing at KSB Secretariat Once the application reaches the Kendriya Sainik Board, the Section-in-charge verify the same and upload the printed list for the approval of JD (Welfare). ﻿ Payment Procedure After approval of Secretary KSB, the application is processed for payment by Welfare Section. The welfare section verifies the Ex-servicemen's service number, name, banker's IFS Code and bank account number & forward the list of approved cases to Accounts Section for payment. The Accounts Section then processes the list for payment directly to beneficiaries via ECS to the beneficiaries as applicable. ﻿ Track Application Status Applicant has to revisit the same portal https://ksb.gov.in/index.htm  Click on “Status of application” link on the homepage of the portal. Now enter your DAK ID and verification code. Click on the “Search” button. ﻿ ﻿",Copies of the following documents duly attested by ZSWO must accompany the application:- ﻿ Complete Service Discharge Book/Documents. Photocopy of ESM / widow I Card. Original medical bills duly countersigned by attending doctor. Hospital admission and discharge report duly countersigned by hospital authority. A certificate from applicant that he/she has not taken any money/grant from the State Govt or present employer in the form of reimbursement or medical allowance. Details of Bank A/c No (in PNB/SBI only) and IFS Code. ﻿,Central,Health & Wellness,,"Ex-Servicemen, Widow Of Ex-Servicemen, Serious Disease Treatment",,,,
Aastha Yojana,asr,"The scheme ""Aastha Yojana"" was launched by the Department of Social Justice and Empowerment, Government of Rajasthan. It aims to provide BPL-equivalent benefits to families with multiple specially-abled members. Under this scheme, eligible families receive free medical treatment, ration supplies, and other welfare benefits. To avail of the benefits, a family must possess an Aastha Card, and their annual income should not exceed ₹1.20 lakh.","Aastha cardholder families receive benefits similar to BPL families, including free medical treatment and ration supplies. Note: Aastha cardholders are entitled to benefits from all BPL-related schemes run by different state government departments.","The applicant should be a native of Rajasthan. The two or more members should be specially abled from the same family. The applicant must have a disability of 40%. The annual family income should not exceed ₹1,20,000/-.","Step 1: The interested applicant should visit office of the District Social Justice & Empowerment Office and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. Step 2: In the application form, fill in all the mandatory fields and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the District Social Justice & Empowerment Office. Step 4: Request a receipt or acknowledgment from the District Social Justice & Empowerment Office to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission and a unique identification number (if applicable).",Identity proof Domicile Certificate Disability Certificate Aadhaar Card Any Other Document if Required,State,"Health & Wellness, Social welfare & Empowerment",,"Persons With Disabilities, Medical Treatment, Ration, Welfare Benefits, PwD, Astha Card",120000.0,,,
Accident Assistance (K.B.O.C.W.W.B),kaabocwwb,"The ""Accident Assistance'' by the BOCW Welfare Board, Department of Labour, Karnataka, is a welfare scheme for the registered workers of the board. Under this Scheme, every registered construction worker who meets with an accident during the course of employment shall be compensated by the employer under the provisions of the Employee’s Compensation Act, along with a compensation from the Board. ﻿","Death Benefit: ₹5,00,000/- granted (50% in Fixed Deposit, 50% via cheque/DBT) to the first living nominee. Permanent Total Disablement Benefit: ₹2,00,000/- granted (50% in Fixed Deposit, 50% via cheque/DBT). Permanent Partial Disablement Benefit: ₹1,00,000/- granted proportionally (50% in Fixed Deposit, 50% via cheque/DBT). ﻿",For Registration as a Building/ Construction Worker: The applicant should be a Building/ Construction Worker (Unorganised Worker). The applicant should be a minimum of 18 years of age. The applicant should have engaged in building and construction work for at least 90 days in a given year. For the Application of the Welfare Scheme: The applicant should be a registered construction worker Under the Building and Other Construction Workers Welfare Board of Karnataka. The accident must occur either during the course of employment or outside of work.,"Registration Process as a Building/ Construction Worker: Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Register”. Step 2: Select “Register as New Construction Worker” then enter your mobile number as per the Aadhaar Registered and verify with the received OTP. Step 3: From the dashboard, click on “Registration”. Step 4: Fill in all the mandatory details and upload the required documents. Click on “Final Submit” to complete the registration process. Application Process of the Welfare Scheme: Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Login”. Step 2: Enter your registered mobile number and the received OTP. Step 3: From the dashboard, click on “Schemes” (After the user Registration is approved, the user can access the schemes page). Step 4: Select the concerned scheme. Fill in all the mandatory details and upload the required documents. Step 5: Review the details and check the declaration box. Now click on “Submit” to complete the application process. Renewal Process: Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Login”. Step 2: Enter your registered mobile number and the received OTP. Step 3: From the dashboard, click on “Renewal”. Fill in mandatory details and upload the required documents. Step 4: Review the details and click on “Submit” to complete the renewal process. Note: Renewal: Every construction worker must renew their registration with the Karnataka Building and Other Construction Workers Welfare Board every 3 years. If not renewed within this period, a 1-year grace period is granted. After that, the registration becomes invalid. Helpdesk: Karnataka Building And Other Construction Workers Welfare Board, Address: Karmika Bhavan, Dairy Circle, Bannerghatta Road, Bangalore-29. Office No: 080-29753078 E-mail: labour.commissioner42@gmail.com ﻿ List of District Office. ﻿ ﻿ List of Taluk Offices. ﻿",For Registration as a Building/ Construction Worker: Employment Certificate/90 Days Work Certificate ( Form V(A) / V(B) / V(C) /V(D)). Aadhar Card (Self-Attested). Ration Card(non-mandatory). Age Proof (Voter ID Card/Aadhar Card). For the Application of the Welfare Scheme: Medical Certificate. Medical Disability Certificate. Death certificate. FIR COPY. Postmortem Report. Self Declaration. For the Renewal Process: Employment Certificate/90 Days Work Certificate ( Form V(A) / V(B) / V(C) / V(D) ).,State,Health & Wellness,,"Labour, Building Worker, Construction Worker, Accident, Disability, Death Benefit",,,,Karnataka
Andaman & Nicobar Islands Scheme for Health Insurance,anishi,"The scheme “Andaman & Nicobar Islands Scheme for Health Insurance (ANISHI)” was launched by the Health Department, Union Territory of Andaman and Nicobar Islands on 26.01.2015. The scheme provides cashless medical treatment benefit upto ₹5.00 Lakhs per patient per illness to the people belonging to Below Poverty Level/Priority House Hold, Pensioners of A&N Administration who have settled in these Islands after retirement with their dependent family member and Permanent Resident whose family annual income is below ₹3.00 Lakhs. Many of these patients come from economically disadvantage backgrounds and are unable to bear the cost of hospital expense in mainland hospital. In order to provide assistance to such patients the Administration decided to lodge its own health Insurance Scheme which shall provide better health care to the persons.","The Health Insurance (ANISHI) shall provide cashless treatment upto ₹5 Lakhs per patients per illness which include indoor and outdoor treatments. Free travel expenses for patients with one attendant shall be reimbursed (Bunk class fare). Critically ill patients, if referred under the scheme to travel by flight, will be entitled to reimbursement of the air ticket for the patient and one attendant. In the very rare case of a beneficiary falling sick during a personal visit to the mainland and who requires emergency treatment, benefits under the scheme can be availed of but the travel expenses will not be allowed. Note: In case the beneficiary undergoes treatment or on his own gets admitted in empanelled/non-empanelled hospital without completing codal formalities at State Nodal Cell (ANISHI), the reimbursement of hospital expense for such cases ‘will not be allowed’ under the scheme.",The persons/patients of the following categories are eligible to avail the benefits under the scheme: The person who belongs to the BPL category settled in the A&N Islands can avail of the benefits under the scheme. The Government pensioners of the A&N Administration who have settled in these Islands after retirement with their dependent family members can avail of the benefits under the scheme. The permanent resident of the Andaman & Nicobar Islands whose family annual income is below ₹3.00 Lakhs can avail of the benefits under the scheme.,"Step 01: The eligible person(s)/patient can avail of the cashless benefit in any empanelled hospital notified by the Administration from time to time ‘by completing the codal formalities at Nodal Cell (ANISHI)’. Step 02: The patient is to be referred by the concerned specialist of GB Pant Hospital, Port Blair thereafter, he/she has to approach the Nodal Cell (ANISHI) located at the DHS Office for the cashless benefit of the scheme. Step 03: The state Nodal Cell processes the case within 02 days and after obtaining approval of the Chairman ANISHI, orders are issued to the empanelled hospital to provide cashless benefit to treat the referred patient under the ANISHI Scheme. Note 01: In case the beneficiary is on his personal visit to the mainland and had fallen sick requiring emergency treatment and gets admitted to one of the empanelled hospitals under the scheme, the Medical Superintendent /Director of the concerned empanelled hospital in the mainland will have to first inform the Nodal Officer (ANISHI) about the particulars of the patient and his/her clinical condition. Note 02: The State Nodal Cell after verification of records convey the approval to treat the patient as per the guidelines of the scheme, however, the patient/relatives have to submit the documents as the case may be. Note 03: I n such cases, the travel expense to the patient /attendant will not be reimbursed. If the patient gets admitted in a ‘hospital which is not empanelled’ under the scheme, then the benefit will be extended only if the patient is shifted to the nearest empanelled hospital under the scheme. ( Application Form )",BPL Patient: Islander Card/Voter ID Card BPL Ration Card Pensioners: Pension Payment Order Ration Card Islander Card/Voter ID Card Permanent Resident Category Patients: Islander Card/Voter ID Card Ration Card,State,Health & Wellness,,"ANISHI, Health, Insurance, Cashless Treatment, Patient",,,,
Annual Medical Assistance Scheme (BBOCWWB),amapbbocwwb,"The ""Annual Medical Assistance Scheme"" by the Bihar Building & Other Construction Workers Welfare Board, Labour Resources Department, Government of Bihar, provides a yearly financial assistance of ₹3,000/- to the construction workers who are registered with the Board.","Financial Assistance of ₹3,000/- per annum.","The applicant should be a worker. The worker should be engaged in building or construction work. The worker should be registered with the ""Bihar Building & Other Construction Workers Welfare Board"". The worker's membership with the Welfare Board must be active at the time of application. The worker should have at least one year of membership with the Board.","Registration Step 1: Visit the Official Website of the Bihar Building and Other Construction Workers Welfare Board, and click "" Apply for New Registration "". Step 4: On the next page, provide your details including your Aadhaar Number. Then click ""Authenticate"". Step 5: An online form will appear. In the form, fill in all the mandatory fields. The fields marked with an asterisk (*) are mandatory. Step 6: Click ""Submit"". Proceed to pay the application fee online. Step 7:  Upon successful payment, you will receive your construction worker registration number. Application Step 1:  Visit the Official Website of the Bihar Building and Other Construction Workers Welfare Board. Step 2: Click on "" Scheme Application "" and select "" Apply for Scheme "". Step 3:  Enter your registration number and click ""Show"" to view your details. Step 4:  Select the scheme you intend to apply for, enter all mandatory information and upload the necessary documents in the specified format and size. Step 6:  Click on ""Submit Application"" to complete the process. Application Tracking Applicants can track their application status online on the official website of the Board by providing their registration number.","Identity Proof i.e. Aadhaar Card, Voter Card Bank Account Details Proof of Age Identity Card of the Registered Worker Proof of Membership Any Other Documents as Required",State,"Skills & Employment, Health & Wellness",,"Construction, Labour, Medical, Worker, Financial Assistance",,,,
Aravanaippu Illam,aillam,"The scheme “Aravanaippu Illam"" was launched by the Department of Social Welfare, Government of Puducherry. The objective of this scheme is to take care of persons who are lacking basic needs & proper care in society, and to maintain them in a safe living condition.","Free Shelter and Food. Free Supply of 4 Sets of Dresses and Other Daily Living Needs. Free Medical Treatment (Referred to Nearby PHC). Training in Korai & Coir Mat Weaving. Labour Charges of ₹ 20/- Per Mat for the Work of Mat Weaving as and When Carried Out. ₹ 5/- Per Day as Daily Pocket Money. Recreation Like Radio, TV, Library, Besides Local Trips to Places of Interest and Temples. Annual Tour to Places of Interest. Annual Day, Conducted Every Year in Order to Exhibit Their Talents and for Prize Distribution. NOTE: Contact the authorities below in case of delay in disbursal of benefits: Puducherry: The Director, Directorate of Social Welfare, Saradhambal Nagar, Ellaipillaichavadhy, Puducherry. Karaikal: The Collector, Karaikal. Mahe/Yanam: The Regional Administrator, Mahe/Yanam.",The applicant should be lacking basic needs and proper care in society. The applicant should be 20 years or above in age. The applicant should not be suffering from communicable disease.,"Step 1: The interested applicant should visit (during office hours) the Office/ Sub-Office of the Department of Social Welfare, and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the authority given below - Puducherry: The Deputy Director, Differently Abled Section, Directorate of Social Welfare. Karaikal: The Assistant Director, Social Welfare Department (Sub Office). Mahe / Yanam: The Welfare Officer (i\c), Social Welfare Department (Sub Office). Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Aadhaar Card. Voter ID. Address Proof. Ration Card. Age Proof.,State,"Social welfare & Empowerment, Health & Wellness",,"Disability, Food, Shelter, Medical, Clothes",,,,
Arogya Lakshmi,arogya-lakshmi,"Telangana government provides one nutritious meal every day to pregnant and lactating women and children below the age of six through Anganwadi centers. The scheme was launched officially on January 1, 2015. This program under the Women Development and Child Welfare Department of Telangana ﻿ The Government of Telangana has launched Arogya Lakshmi Scheme. Through this scheme, pregnant and lactating women are provided one full meal at the Anganwadi center along with iron and folic acid tablets. Spot feeding of the meal is ensured through this scheme. The Government of Telangana launched this scheme on 1st January 2015. This scheme will be implemented through 31897 main Anganwadi centers and 4076 mini Anganwadi centers in the state. ﻿ The program aims to reduce maternal and infant mortality rates in Telangana by providing support to women who would otherwise be unable to access quality healthcare services. The government hopes that this program will encourage more women to seek out prenatal and postnatal care, and ultimately lead to better health outcomes for mothers and children in the state. ﻿ One full meal will consist of rice, dal with leafy vegetables/sambhar, vegetables for a minimum of 25 days, boiled egg, and 200 ml milk for 30 days in a month. ﻿ For the women, 200 ml of milk for 25 days a month and one egg each day will be given with meal . Children, aged between seven months and three years are provided with 16 eggs a month in addition to a 2.5 kg food packet. For children aged between 3 and six years, one egg a day in addition to rice, dal, vegetables, and snacks is supplied. A total 18,96,844 lactating mothers, 5,18,215 infants, and 21,58,479 pregnant women were covered under the scheme expending Rs 627.96 crore in the past year. The quantity of food items supplied under the scheme has also been increased across all the categories. ﻿ Objectives of “Arogya Laxmi programme” •	Enhance the quality and acceptability of supplementary nutrition by the Pregnant and Lactating women •	Ensure food supplied is consumed by only the Pregnant and Lactating women rather than the whole family •	Ensure that Pregnant and Lactating women consume 90+ IFA tablets. •	Improve the enrolment of mothers at AnganwadiCenters (AWCs). •	Eliminate or decrease the number of Pregnant and Lactating women with anemia/ who are undernourished. •	Reduce the incidence of low birth babies and malnutrition among children. •	Ensure that Pregnant and Lactating women receive health checkups and immunization. •	Reduce the incidence of infant mortality and maternal mortality. ﻿","For children between 7 months to 3 years, 16 eggs per month along with 2.5 Kg Balamrutham  will be provided Balamrutham” is the weaning food introduced under ICDS to provide improved supplementary nutrition to children between 7 months to 3 years. The weaning food is a preparation of wheat, chana dal, milk powder, oil, and sugar. It is fortified and thus provides 50% of iron, calcium, vitamins, and other RDA that children require per day. The composition and nutritive values of Balamrutham are indicated in Table-I and II respectively. The recommended quantity is 100 gms which is to be given to children 3-5 times every day. For children below one year, Balamrutham can be served as porridge mixed with hot water, and for older children, it can be given in the form of “Laddu”. For children aged between 3 and six years, one egg a day in addition to rice, dal, vegetables, and snacks is supplied. Pregnant and lactating women are provided one full meal at the Anganwadi centre along with iron and folic acid tablets 1 full meal will consist of rice, dal with leafy vegetables/sambar, and vegetables for a minimum of 25 days. Boiled eggs and 200 ml milk for 30 days in a month.","The eligibility criteria for the Arogya Lakshmi program in Telangana, India, may vary depending on the specific details of the program and the year in which it is implemented. However, some general eligibility criteria for the program are: ﻿ Residency: The pregnant woman or the family with a newborn must be a resident of Telangana. Pregnancy: The pregnant woman must be in her first or second trimester of pregnancy to be eligible for the program. Delivery: The delivery must take place at a designated healthcare facility or with the assistance of a qualified healthcare provider. ﻿ It's important to note that these are just some of the general eligibility criteria for the Arogya Lakshmi program, and that specific details and criteria may change from year to year. It's always best to check with the relevant government agencies or healthcare providers for the most up-to-date information on eligibility criteria.",Applicant can apply through the nearest Anganwadi centeres ﻿ Procedure To Apply Under Arogya Lakshmi Scheme Through Anganwadi Centre •	Go to your nearest Anganwadi centre •	Ask for Arogya Lakshmi application form •	Fill all the required information in this application form •	Attach all the required documents to the application form •	Now submit this form in the Anganwadi centre •	By following this procedure you can apply under Arogya Lakshmi scheme through Anganwadi centre ﻿,•	Aadhar Card •	Ration card •	Proof of age •	Proof of income •	Passport size photograph •	Mobile number ﻿,State,"Health & Wellness, Social welfare & Empowerment, Women and Child",,"Arogya Lakshmi, Pregnat Women, Lactating Women, Children, Anganwadi Centers",,,,
Asangathit Karmakaar Mrtyu Evan Divyaang Sahaayata Yojana,akmeds,"In 2019, Chhattisgarh State Government started a scheme ""Asangathit Karmakaar Mrtyu Evan Divyaang Sahaayata Yojana"" for unorganized worker. With this scheme, family will able to get the financials benefits after the death or disability of the unorganized worker.","Situation Financial Help On Death ₹ 1,00,000/- Permanent Disability ₹ 50,000/- ﻿","Unorganized workers must be between the ages of 18 and 60 are eligible. Unorganized workers must be registered as beneficiaries under Section 10 (3) of the Act. Assistance will not be provided in the case of death due to suicide, drug or substance abuse, or death due to fighting with each other with the intent to commit a crime. Benefits will be given only on the death of the registered worker and not on the death or accident of a family member. Beneficiaries who have benefited from the Financial Assistance and Rehabilitation Assistance Scheme for unorganized workers suffering from silicosis run by the Board will not be eligible.","Unregistered Applicant : All the applicant have to visit the official website Chhattisgarh Labour Department. On the home page click on "" Apply "" under ""Chhattisgarh Unorganized Workers State Social Security Board"". Enter the following details Select Group Name : ""Asangathit Marmakaar Mandal"" Select Service : ""Asangathit Shramik Panjikaran"" What do you want to do :  ""Aavedan"" Click next. Check the eligibility criteria for registration in Chhattisgarh Unorganized Workers State Social Security Board and click next. Fill out the online ""Registration form"". Submit. ﻿ Already Registered Applicant : All the applicant have to visit the official website Chhattisgarh Labour Department. On the home page click on "" Apply "" under ""Chhattisgarh Unorganized Workers State Social Security Board"". Enter the following details Select Group Name : ""Asangathit Marmakaar Mandal"" Select Service : ""Yojana"" What do you want to do :  ""Aavedan"" Click next. Select your district name and provide old/new registration number and click next. Select the scheme name. Fill out the online with required details. Submit.","Registration certificate, Aadhar card, Bank passbook, Nominee's Aadhar card, Address proof, Mobile number, Death certificate. In case of permanent disability, permanent disability certificate issues by the doctor.",State,"Health & Wellness, Social welfare & Empowerment",,"Financial Assistance, Family Benefits, Empowerment",,,,
Asangathit Karmakar Gambhir Bimari Chikitsa Sahayata Yojana,akgbcsy,"Labor Department of Chhattisgarh State started this scheme ""Asangathit Karmakar Gambhir Bimari Chikitsa Sahayata Yojana"" for unorganized worker on 28 April 2012. Under this scheme, financial assistance will be provided for the medical treatment of serious illness like treatment of kidney, cancer, sickle cell anemia, heart disease, AIDS and paralysis.","Unorganized workers can receive up to ₹ 50,000 in medical assistance to help cover the cost of treating kidney, cancer, sickle cell anemia, heart disease, AIDS, and paralysis. If the actual cost of treatment is less than ₹ 50,000, they will only receive the actual cost of treatment.",The applicant must be registered with the State Board for at least 90 days. The applicant must be between the ages of 18 and 60. The applicant must be registered as a beneficiary of unorganized workers under Section 10 of the Act.,"Unregistered Applicant : All the applicant have to visit the official website Chhattisgarh Labour Department. On the home page click on "" Apply "" under ""Chhattisgarh Unorganized Workers State Social Security Board"". Enter the following details Select Group Name : ""Asangathit Marmakaar Mandal"" Select Service : ""Asangathit Shramik Panjikaran"" What do you want to do : ""Aavedan"" Click next. Check the eligibility criteria for registration in Chhattisgarh Unorganized Workers State Social Security Board and click next. Fill out the online ""Registration form"". Submit. ﻿ Already Registered Applicant : All the applicant have to visit the official website Chhattisgarh Labour Department. On the home page click on "" Apply "" under ""Chhattisgarh Unorganized Workers State Social Security Board"". Enter the following details Select Group Name : ""Asangathit Marmakaar Mandal"" Select Service : ""Yojana"" What do you want to do : ""Aavedan"" Click next. Select your district name and provide old/new registration number and click next. Select the scheme name. Fill out the online with required details. Submit.",Aadhaar Card. Registration Card. Disease details by Vikas khand Adhikari / Surgeon / Chief medical officer/ Heath Officer. A approximate expenses details by related Medical officer.,State,Health & Wellness,,"Medical Treatment, Financial Assistance, Serious Illness",,,,
